Time	I.max_1	I.total_1	I.back_1
0	96.86275	92.21438	84.93697
0.039	96.86275	92.01569	84.46779
0.081	96.86275	92.30327	84.81793
0.119	96.86275	92.27712	84.94398
0.158	96.86275	92.27712	85.05602
0.196	96.86275	92.30327	85.28712
0.234	96.86275	92.16209	84.70588
0.273	96.86275	92.2475	85.05602
0.311	96.86275	92.21961	84.71288
0.349	96.86275	92.36253	85.16807
0.389	96.86275	91.53116	85.03501
0.427	96.86275	92.27712	85.17507
0.465	96.86275	92.30501	85.17507
0.505	96.86275	92.16035	84.93697
0.544	96.86275	92.19172	84.94398
0.582	96.86275	92.24401	84.81793
0.622	96.86275	92.10458	84.59383
0.66	96.86275	92.10109	84.69888
0.7	96.86275	92.18823	84.81793
0.739	96.86275	92.30501	85.05602
0.777	96.86275	92.30501	85.05602
0.816	96.86275	92.24401	84.81793
0.855	96.86275	92.18998	84.82493
0.894	96.86275	92.24575	84.93697
0.932	96.86275	92.33464	85.05602
0.971	96.86275	92.16209	84.82493
1.011	96.86275	92.16035	84.70588
1.05	96.86275	91.98605	84.34874
1.089	96.86275	92.22135	84.94398
1.13	96.86275	92.19172	84.82493
1.169	96.86275	92.16209	84.93697
1.208	96.86275	92.33639	85.17507
1.247	96.86275	92.13072	84.93697
1.285	96.86275	92.07494	84.36275
1.325	96.86275	92.21786	84.93697
1.364	96.86275	92.21786	85.04902
1.403	96.86275	92.27712	85.16807
1.442	96.86275	92.04357	84.93697
1.48	96.86275	92.04532	84.46779
1.519	96.86275	92.01743	84.59383
1.558	96.86275	92.13072	85.04902
1.596	96.86275	92.18998	84.93697
1.638	96.86275	92.04357	84.69888
1.676	96.86275	91.98605	84.47479
1.715	96.86275	92.0732	84.69888
1.753	96.86275	92.12897	84.69888
1.791	96.86275	92.16035	84.70588
1.83	96.86275	92.07494	84.82493
1.868	96.86275	91.89717	84.34874
1.906	96.86275	92.04532	84.47479
1.946	96.86275	92.24575	84.93697
1.984	96.86275	92.01569	84.58683
2.022	96.86275	92.18649	84.69888
2.061	96.86275	92.1342	84.83193
2.1	96.86275	92.01743	84.4818
